Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,3,1,55.08111111111111,143.2788888888889,182.65333333333334,13.733654698581562,35.72445700354611,45.54188829787234,7.54538911160893,100,95,0/1044,0/512,-,-,-
0,3,2,55.21222222222222,143.31333333333333,183.12333333333333,13.743420363102794,35.67353937883569,45.58304025806151,7.742970300140473,100,95,0/1044,0/512,-,-,-
0,3,3,54.65888888888889,143.14555555555555,182.85555555555555,13.641029907120384,35.724341348651755,45.63462874422787,8.219776890064312,100,95,0/1044,0/512,-,-,-
0,3,4,54.8,143.53666666666666,182.91666666666666,13.654962579562145,35.766200951248514,45.57883646918934,8.285075882341498,100,95,0/1044,0/512,-,-,-
0,3,5,53.272222222222226,143.43,184.46555555555557,13.277253236399252,35.74764393632434,45.97510282727641,8.345307347363164,100,95,0/1044,0/512,-,-,-
0,3,6,52.07555555555555,143.89888888888888,185.04666666666665,12.9839991368224,35.878312371143046,46.13768849203457,8.433506014488358,100,95,0/1044,0/512,-,-,-
0,3,7,51.02111111111111,144.24444444444444,185.30666666666667,12.736099148942383,36.00689020918792,46.257010641869705,8.701667628942962,100,95,0/1044,0/512,-,-,-
0,3,8,51.18,144.05,185.13444444444445,12.782740529550606,35.977994788623775,46.23926468182562,8.338586206393863,100,95,0/1044,0/512,-,-,-
0,3,9,50.82,143.74,184.85222222222222,12.724682330271092,35.99066977869278,46.28464789103613,8.938844191053647,100,95,0/1044,0/512,-,-,-
0,3,10,49.99444444444445,144.45222222222222,185.2877777777778,12.507351628769815,36.13831010560011,46.35433826563008,9.018729636244352,100,95,0/1044,0/512,-,-,-
0,3,11,49.46666666666667,144.92666666666668,185.59555555555556,12.367028275680575,36.23272610310243,46.40024562121699,8.942455308385785,100,95,0/1044,0/512,-,-,-
0,3,12,48.72222222222222,145.28222222222223,185.60222222222222,12.193176562875022,36.35818947097288,46.4486339661521,8.750909712626399,100,95,0/1044,0/512,-,-,-
0,3,13,48.96333333333333,144.63111111111112,186.10222222222222,12.250612330895713,36.18666362330164,46.56272404580264,8.561166771157412,100,95,0/1044,0/512,-,-,-
0,3,14,49.20444444444444,143.72222222222223,187.1977777777778,12.944298943036197,37.80925544850809,49.24644560845571,0.49416747763968566,100,100,0/1044,0/512,-,-,-
0,4,0,59.26444444444444,147.21,183.47333333333333,15.198046462061873,37.751208851327675,47.05074468661046,0.25864332409424684,100,100,0/1044,0/512,-,-,-
0,4,1,57.79666666666667,146.45666666666668,186.44444444444446,14.053531004356877,35.6116264916332,45.33484250400992,7.800748260555836,100,95,0/1044,0/512,-,-,-
0,4,2,56.74333333333333,146.78666666666666,186.6811111111111,13.814616019818333,35.73638201543324,45.449001964748426,7.7453616503684,100,95,0/1044,0/512,-,-,-
0,4,3,56.504444444444445,146.6677777777778,186.2511111111111,13.784285025436473,35.77967136592284,45.436043608640695,8.206740207608009,100,95,0/1044,0/512,-,-,-
0,4,4,54.88444444444445,147.29222222222222,187.84444444444443,13.368564094821078,35.87693258769468,45.754503317484236,8.34053441492444,100,95,0/1044,0/512,-,-,-
0,4,5,54.70777777777778,147.01,188.48777777777778,13.319233452453835,35.791263863775505,45.889502683770665,8.064492149705494,100,95,0/1044,0/512,-,-,-
