Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,5,2,53.03888888888889,144.36444444444444,185.10555555555555,15.945962040097834,43.402680547728735,55.651357412173425,8.44229026363502,120,115,0/1044,0/512,-,-,-
0,5,3,52.233333333333334,144.52555555555554,184.86,15.740398361366925,43.552453436674746,55.707148201958326,8.411805380736688,120,115,0/1044,0/512,-,-,-
0,5,4,51.964444444444446,145.02444444444444,185.79777777777778,15.611596827940135,43.56946718218445,55.81893598987542,8.540427433178124,120,115,0/1044,0/512,-,-,-
0,5,5,52.077777777777776,144.84555555555556,186.69444444444446,15.611748963088257,43.42144669462659,55.96680434228514,8.326072813458772,120,115,0/1044,0/512,-,-,-
0,5,6,52.44777777777778,145.60888888888888,187.38888888888889,15.648109979504241,43.44328785445992,55.90860216603585,8.300143689792977,120,115,0/1044,0/512,-,-,-
0,5,7,50.57555555555555,146.2,188.85888888888888,15.082130169331348,43.59828392461485,56.31958590605381,8.55981794566845,120,115,0/1044,0/512,-,-,-
0,5,8,48.97666666666667,146.10666666666665,189.16333333333333,14.658075541752693,43.727813730763216,56.614110727484075,8.514915779102166,120,115,0/1044,0/512,-,-,-
0,5,9,48.724444444444444,145.45333333333335,189.28222222222223,14.612504853468707,43.62158591074254,56.765909235788754,8.679958127893146,120,115,0/1044,0/512,-,-,-
0,5,10,48.12777777777778,145.65,188.85777777777778,14.464663213037063,43.77468261066521,56.76065417629772,8.640196498577605,120,115,0/1044,0/512,-,-,-
0,5,11,47.87111111111111,145.75555555555556,188.82333333333332,14.394503275664214,43.8276608416496,56.77783588268619,8.70232699087224,120,115,0/1044,0/512,-,-,-
0,5,12,47.07888888888889,146.52,189.10111111111112,14.147040037162848,44.028743140841385,56.824216821995755,8.817201494325246,120,115,0/1044,0/512,-,-,-
0,5,13,45.94222222222222,147.66444444444446,189.76222222222222,13.78138839296065,44.295224790744044,56.92338681629529,8.536327950204296,120,115,0/1044,0/512,-,-,-
0,5,14,45.69888888888889,146.6688888888889,189.04111111111112,13.77884043953995,44.22267732500553,56.99848223545451,8.831744924937338,120,115,0/1044,0/512,-,-,-
0,6,0,54.897777777777776,146.76888888888888,186.4611111111111,16.265891816841535,43.4867669581896,55.24734122496887,7.462601587828578,120,115,0/1044,0/512,-,-,-
0,6,1,54.39888888888889,146.51777777777778,187.93,16.088275298460974,43.33210462850252,55.579620073036494,8.068417670986882,120,115,0/1044,0/512,-,-,-
0,6,2,54.465555555555554,146.91,188.36666666666667,16.07097853852119,43.34826723076221,55.5807542307166,8.229191899215435,120,115,0/1044,0/512,-,-,-
0,6,3,55.24777777777778,147.09444444444443,188.6677777777778,16.2489308315502,43.261965451295644,55.48910371715415,7.919015032341958,120,115,0/1044,0/512,-,-,-
0,6,4,55.10777777777778,147.59,189.48444444444445,16.15931086456409,43.27796885801385,55.562720277422066,8.280663859532954,120,115,0/1044,0/512,-,-,-
0,6,5,55.65111111111111,147.74,190.75555555555556,16.237300271754453,43.106034978519,55.65666474972656,8.341827785898193,120,115,0/1044,0/512,-,-,-
0,6,6,54.845555555555556,148.75444444444443,191.97555555555556,15.944460673336742,43.24524321803953,55.810296108623724,8.239611496967559,120,115,0/1044,0/512,-,-,-
0,6,7,53.09222222222222,149.51444444444445,192.26111111111112,15.462405137021955,43.5440977429857,55.99349711999235,8.242629462963789,120,115,0/1044,0/512,-,-,-
0,6,8,51.776666666666664,149.27555555555554,192.68444444444444,15.122586161647801,43.59941641762825,56.27799742072395,8.51828272809023,120,115,0/1044,0/512,-,-,-
0,6,9,50.36888888888889,148.80555555555554,192.2422222222222,14.798609041231993,43.719750195160024,56.48164076360798,8.613390510775595,120,115,0/1044,0/512,-,-,-
0,6,10,50.236666666666665,149.19333333333333,192.18666666666667,14.7522236881304,43.81129505894369,56.43648125292591,8.38839947775737,120,115,0/1044,0/512,-,-,-
0,6,11,49.87,149.34444444444443,192.2422222222222,14.650536032085288,43.8735946365569,56.475869331357806,8.4832117544587,120,115,0/1044,0/512,-,-,-
